0008  NV1 [STG2000X-B Series]
00cc  NV41GLM [Quadro FX Go1400]
00cd  NV42GL [Quadro FX 3450/4000 SDI]
00ce  NV41GL [Quadro FX 1400]
00cf  NV41
00d0  nForce3 LPC Bridge
00d1  nForce3 Host Bridge
00d2  nForce3 AGP Bridge
00d3  CK804 Memory Controller
00d4  nForce3 SMBus
00d5  nForce3 IDE
00d6  nForce3 Ethernet
00d7  nForce3 USB 1.1
00d8  nForce3 USB 2.0
00d9  nForce3 Audio
00da  nForce3 Audio
00dd  nForce3 PCI Bridge
00df  CK8S Ethernet Controller
00e0  nForce3 250Gb LPC Bridge
00e1  nForce3 250Gb Host Bridge
00e2  nForce3 250Gb AGP Host to PCI Bridge
00e3  nForce3 Serial ATA Controller
00e4  nForce 250Gb PCI System Management
00e5  CK8S Parallel ATA Controller (v2.5)
00e6  CK8S Ethernet Controller
00e7  CK8S USB Controller
00e8  nForce3 EHCI USB 2.0 Controller
00ea  nForce3 250Gb AC'97 Audio Controller
00ed  nForce3 250Gb PCI-to-PCI Bridge
00ee  nForce3 Serial ATA Controller 2
00f1  NV43 [GeForce 6600 GT]
00f2  NV43 [GeForce 6600]
00f3  NV43 [GeForce 6200]
00f4  NV43 [GeForce 6600 LE]
00f5  G70/G71 [GeForce 7800 GS AGP]
00f6  NV43 [GeForce 6800 GS/XT]
00f8  NV45GL [Quadro FX 3400/4400]
00f9  NV40 [GeForce 6800 GT/GTO/Ultra]
00fa  NV39 [GeForce PCX 5750]
00fb  NV35 [GeForce PCX 5900]
00fc  NV37GL [Quadro FX 330/GeForce PCX 5300]
00fd  NV37GL [Quadro PCI-E Series]
00fe  NV38GL [Quadro FX 1300]
00ff  NV19 [GeForce PCX 4300]
0100  NV10 [GeForce 256 SDR]
0101  NV10 [GeForce 256 DDR]
0103  NV10GL [Quadro]
0110  NV11 [GeForce2 MX/MX 400]
0111  NV11 [GeForce2 MX200]
0112  NV11M [GeForce2 Go]
0113  NV11GL [Quadro2 MXR/EX/Go]
0140  NV43 [GeForce 6600 GT]
0141  NV43 [GeForce 6600]
0142  NV43 [GeForce 6600 LE]
0143  NV43 [GeForce 6600 VE]
0144  NV43M [GeForce Go 6600]
0145  NV43 [GeForce 6610 XL]
0146  NV43M [GeForce Go6200 TE / 6600 TE]
0147  NV43 [GeForce 6700 XL]
0148  NV43M [GeForce Go 6600]
0149  NV43M [GeForce Go 6600 GT]
014a  NV43 [Quadro NVS 440]
014b  NV43
014d  NV43GL [Quadro FX 550]
014e  NV43GL [Quadro FX 540]
014f  NV43 [GeForce 6200]
0150  NV15 [GeForce2 GTS/Pro]
0151  NV15 [GeForce2 Ti]
0152  NV15 [GeForce2 Ultra]
0153  NV15GL [Quadro2 Pro]
0160  NV44 [GeForce 6500]
0161  NV44 [GeForce 6200 TurboCache]
0162  NV44 [GeForce 6200 SE TurboCache]
0163  NV44 [GeForce 6200 LE]
0164  NV44M [GeForce Go 6200]
0165  NV44 [Quadro NVS 285]
0166  NV44M [GeForce Go 6400]
0167  NV44M [GeForce Go 6200]
0168  NV44M [GeForce Go 6400]
0169  NV44 [GeForce 6250]
016a  NV44 [GeForce 7100 GS]
016d  NV44
016e  NV44
016f  NV44
0170  NV17 [GeForce4 MX 460]
0171  NV17 [GeForce4 MX 440]
0172  NV17 [GeForce4 MX 420]
0173  NV17 [GeForce4 MX 440-SE]
0174  NV17M [GeForce4 440 Go]
0175  NV17M [GeForce4 420 Go]
0176  NV17M [GeForce4 420 Go 32M]
0177  NV17M [GeForce4 460 Go]
0178  NV17GL [Quadro4 550 XGL]
0179  NV17M [GeForce4 440 Go 64M]
017a  NV17GL [Quadro NVS]
017b  NV17GL [Quadro4 550 XGL]
017c  NV17GL [Quadro4 500 GoGL]
017f  NV17
0181  NV18 [GeForce4 MX 440 AGP 8x]
0182  NV18 [GeForce4 MX 440SE AGP 8x]
0183  NV18 [GeForce4 MX 420 AGP 8x]
0184  NV18 [GeForce4 MX]
0185  NV18 [GeForce4 MX 4000]
0186  NV18M [GeForce4 448 Go]
0187  NV18M [GeForce4 488 Go]
0188  NV18GL [Quadro4 580 XGL]
0189  NV18 [GeForce4 MX with AGP8X (Mac)]
018a  NV18GL [Quadro NVS 280 SD]
018b  NV18GL [Quadro4 380 XGL]
018c  NV18GL [Quadro NVS 50 PCI]
018d  NV18M [GeForce4 448 Go]
0190  G80 [GeForce 8800 GTS / 8800 GTX]
0191  G80 [GeForce 8800 GTX]
0192  G80 [GeForce 8800 GTS]
0193  G80 [GeForce 8800 GTS]
0194  G80 [GeForce 8800 Ultra]
0197  G80GL [Tesla C870]
019d  G80GL [Quadro FX 5600]
019e  G80GL [Quadro FX 4600]
01a0  nForce 220/420 NV1A [GeForce2 MX]
01a4  nForce CPU bridge
01ab  nForce 420 Memory Controller (DDR)
01ac  nForce 220/420 Memory Controller
01ad  nForce 220/420 Memory Controller
01b0  nForce Audio Processing Unit
01b1  nForce AC'97 Audio Controller
01b2  nForce ISA Bridge
01b4  nForce PCI System Management
01b7  nForce AGP to PCI Bridge
01b8  nForce PCI-to-PCI bridge
01bc  nForce IDE
01c1  nForce AC'97 Modem Controller
01c2  nForce USB Controller
01c3  nForce Ethernet Controller
01d0  G72 [GeForce 7350 LE]
01d1  G72 [GeForce 7300 LE]
01d2  G72 [GeForce 7550 LE]
01d3  G72 [GeForce 7200 GS / 7300 SE]
01d5  G72
01d6  G72M [GeForce Go 7200]
01d7  G72M [Quadro NVS 110M/GeForce Go 7300]
01d8  G72M [GeForce Go 7400]
01d9  G72M [GeForce Go 7450]
01da  G72M [Quadro NVS 110M]
01db  G72M [Quadro NVS 120M]
01dc  G72GLM [Quadro FX 350M]
01dd  G72 [GeForce 7500 LE]
01de  G72GL [Quadro FX 350]
01df  G72 [GeForce 7300 GS]
01e0  nForce2 IGP2
01e8  nForce2 AGP
01ea  nForce2 Memory Controller 0
01eb  nForce2 Memory Controller 1
01ec  nForce2 Memory Controller 2
01ed  nForce2 Memory Controller 3
01ee  nForce2 Memory Controller 4
01ef  nForce2 Memory Controller 5
01f0  NV1F C17 [GeForce4 MX IGP]
0200  NV20 [GeForce3]
0201  NV20 [GeForce3 Ti 200]
0202  NV20 [GeForce3 Ti 500]
0203  NV20GL [Quadro DCC]
0211  NV48 [GeForce 6800]
0212  NV48 [GeForce 6800 LE]
0215  NV48 [GeForce 6800 GT]
0218  NV48 [GeForce 6800 XT]
0221  NV44A [GeForce 6200]
0222  NV44 [GeForce 6200 A-LE]
0224  NV44
0240  C51PV [GeForce 6150]
0241  C51 [GeForce 6150 LE]
0242  C51G [GeForce 6100]
0243  C51 PCI Express Bridge
0244  C51 [GeForce Go 6150]
0245  C51 [Quadro NVS 210S/GeForce 6150LE]
0246  C51 PCI Express Bridge
0247  C51 [GeForce Go 6100]
0248  C51 PCI Express Bridge
0249  C51 PCI Express Bridge
024a  C51 PCI Express Bridge
024b  C51 PCI Express Bridge
024c  C51 PCI Express Bridge
024d  C51 PCI Express Bridge
024e  C51 PCI Express Bridge
024f  C51 PCI Express Bridge
0250  NV25 [GeForce4 Ti 4600]
0251  NV25 [GeForce4 Ti 4400]
0252  NV25 [GeForce4 Ti]
0253  NV25 [GeForce4 Ti 4200]
0258  NV25GL [Quadro4 900 XGL]
0259  NV25GL [Quadro4 750 XGL]
025b  NV25GL [Quadro4 700 XGL]
0260  MCP51 LPC Bridge
0261  MCP51 LPC Bridge
0262  MCP51 LPC Bridge
0263  MCP51 LPC Bridge
0264  MCP51 SMBus
0265  MCP51 IDE
0266  MCP51 Serial ATA Controller
0267  MCP51 Serial ATA Controller
0268  MCP51 Ethernet Controller
0269  MCP51 Ethernet Controller
026a  MCP51 MCI
026b  MCP51 AC97 Audio Controller
026c  MCP51 High Definition Audio
026d  MCP51 USB Controller
026e  MCP51 USB Controller
026f  MCP51 PCI Bridge
0270  MCP51 Host Bridge
0271  MCP51 PMU
0272  MCP51 Memory Controller 0
027e  C51 Memory Controller 2
027f  C51 Memory Controller 3
0280  NV28 [GeForce4 Ti 4800]
0281  NV28 [GeForce4 Ti 4200 AGP 8x]
0282  NV28 [GeForce4 Ti 4800 SE]
0286  NV28M [GeForce4 Ti 4200 Go AGP 8x]
0288  NV28GL [Quadro4 980 XGL]
0289  NV28GL [Quadro4 780 XGL]
028c  NV28GLM [Quadro4 Go700]
0290  G71 [GeForce 7900 GTX]
0291  G71 [GeForce 7900 GT/GTO]
0292  G71 [GeForce 7900 GS]
0293  G71 [GeForce 7900 GX2]
0294  G71 [GeForce 7950 GX2]
0295  G71 [GeForce 7950 GT]
0297  G71M [GeForce Go 7950 GTX]
0298  G71M [GeForce Go 7900 GS]
0299  G71M [GeForce Go 7900 GTX]
029a  G71GLM [Quadro FX 2500M]
029b  G71GLM [Quadro FX 1500M]
029c  G71GL [Quadro FX 5500]
029d  G71GL [Quadro FX 3500]
029e  G71GL [Quadro FX 1500]
029f  G71GL [Quadro FX 4500 X2]
02a0  NV2A [XGPU]
02a5  MCPX CPU Bridge
02a6  MCPX Memory Controller
02e0  G73 [GeForce 7600 GT AGP]
02e1  G73 [GeForce 7600 GS AGP]
02e2  G73 [GeForce 7300 GT AGP]
02e3  G71 [GeForce 7900 GS AGP]
02e4  G71 [GeForce 7950 GT AGP]
02e5  G71 [GeForce 7600 GS AGP]
02f0  C51 Host Bridge
02f1  C51 Host Bridge
02f2  C51 Host Bridge
02f3  C51 Host Bridge
02f4  C51 Host Bridge
02f5  C51 Host Bridge
02f6  C51 Host Bridge
02f7  C51 Host Bridge
02f8  C51 Memory Controller 5
02f9  C51 Memory Controller 4
02fa  C51 Memory Controller 0
02fb  C51 PCI Express Bridge
02fc  C51 PCI Express Bridge
02fd  C51 PCI Express Bridge
02fe  C51 Memory Controller 1
02ff  C51 Host Bridge
0300  NV30 [GeForce FX]
0301  NV30 [GeForce FX 5800 Ultra]
0302  NV30 [GeForce FX 5800]
0308  NV30GL [Quadro FX 2000]
0309  NV30GL [Quadro FX 1000]
0311  NV31 [GeForce FX 5600 Ultra]
0312  NV31 [GeForce FX 5600]
0314  NV31 [GeForce FX 5600XT]
0316  NV31M
0318  NV31GL
031a  NV31M [GeForce FX Go5600]
031b  NV31M [GeForce FX Go5650]
031c  NV31GLM [Quadro FX Go700]
0320  NV34 [GeForce FX 5200]
0321  NV34 [GeForce FX 5200 Ultra]
0322  NV34 [GeForce FX 5200]
0323  NV34 [GeForce FX 5200LE]
0324  NV34M [GeForce FX Go5200 64M]
0325  NV34M [GeForce FX Go5250]
0326  NV34 [GeForce FX 5500]
0327  NV34 [GeForce FX 5100]
0328  NV34M [GeForce FX Go5200 32M/64M]
0329  NV34M [GeForce FX Go5200]
032a  NV34GL [Quadro NVS 280 PCI]
032b  NV34GL [Quadro FX 500/600 PCI]
032c  NV34M [GeForce FX Go5300 / Go5350]
032d  NV34M [GeForce FX Go5100]
032e  NV34
032f  NV34 [GeForce FX 5200]
0330  NV35 [GeForce FX 5900 Ultra]
0331  NV35 [GeForce FX 5900]
0332  NV35 [GeForce FX 5900XT]
0333  NV38 [GeForce FX 5950 Ultra]
0334  NV35 [GeForce FX 5900ZT]
0338  NV35GL [Quadro FX 3000]
033f  NV35GL [Quadro FX 700]
0341  NV36 [GeForce FX 5700 Ultra]
0342  NV36 [GeForce FX 5700]
0343  NV36 [GeForce FX 5700LE]
0344  NV36 [GeForce FX 5700VE]
0347  NV36M [GeForce FX Go5700]
0348  NV36M [GeForce FX Go5700]
034c  NV36 [Quadro FX Go1000]
034d  NV36
034e  NV36GL [Quadro FX 1100]
0360  MCP55 LPC Bridge
0361  MCP55 LPC Bridge
0362  MCP55 LPC Bridge
0363  MCP55 LPC Bridge
0364  MCP55 LPC Bridge
0365  MCP55 LPC Bridge
0366  MCP55 LPC Bridge
0367  MCP55 LPC Bridge
0368  MCP55 SMBus Controller
0369  MCP55 Memory Controller
036a  MCP55 Memory Controller
036b  MCP55 SMU
036c  MCP55 USB Controller
036d  MCP55 USB Controller
036e  MCP55 IDE
0370  MCP55 PCI bridge
0371  MCP55 High Definition Audio
0372  MCP55 Ethernet
0373  MCP55 Ethernet
0374  MCP55 PCI Express bridge
0375  MCP55 PCI Express bridge
0376  MCP55 PCI Express bridge
0377  MCP55 PCI Express bridge
0378  MCP55 PCI Express bridge
037a  MCP55 Memory Controller
037e  MCP55 SATA Controller
037f  MCP55 SATA Controller
038b  G73 [GeForce 7650 GS]
0390  G73 [GeForce 7650 GS]
0391  G73 [GeForce 7600 GT]
0392  G73 [GeForce 7600 GS]
0393  G73 [GeForce 7300 GT]
0394  G73 [GeForce 7600 LE]
0395  G73 [GeForce 7300 GT]
0396  G73
0397  G73M [GeForce Go 7700]
0398  G73M [GeForce Go 7600]
0399  G73M [GeForce Go 7600 GT]
039a  G73M [Quadro NVS 300M]
039b  G73M [GeForce Go 7900 SE]
039c  G73GLM [Quadro FX 550M]
039d  G73
039e  G73GL [Quadro FX 560]
039f  G73
03a0  C55 Host Bridge
03a1  C55 Host Bridge
03a2  C55 Host Bridge
03a3  C55 Host Bridge
03a4  C55 Host Bridge
03a5  C55 Host Bridge
03a6  C55 Host Bridge
03a7  C55 Host Bridge
03a8  C55 Memory Controller
03a9  C55 Memory Controller
03aa  C55 Memory Controller
03ab  C55 Memory Controller
03ac  C55 Memory Controller
03ad  C55 Memory Controller
03ae  C55 Memory Controller
03af  C55 Memory Controller
03b0  C55 Memory Controller
03b1  C55 Memory Controller
03b2  C55 Memory Controller
03b3  C55 Memory Controller
03b4  C55 Memory Controller
03b5  C55 Memory Controller
03b6  C55 Memory Controller
03b7  C55 PCI Express bridge
03b8  C55 PCI Express bridge
03b9  C55 PCI Express bridge
03ba  C55 Memory Controller
03bb  C55 PCI Express bridge
03bc  C55 Memory Controller
03d0  C61 [GeForce 6150SE nForce 430]
03d1  C61 [GeForce 6100 nForce 405]
03d2  C61 [GeForce 6100 nForce 400]
03d5  C61 [GeForce 6100 nForce 420]
03d6  C61 [GeForce 7025 / nForce 630a]
03e0  MCP61 LPC Bridge
03e1  MCP61 LPC Bridge
03e2  MCP61 Host Bridge
03e3  MCP61 LPC Bridge
03e4  MCP61 High Definition Audio
03e5  MCP61 Ethernet
03e6  MCP61 Ethernet
03e7  MCP61 SATA Controller
03e8  MCP61 PCI Express bridge
03e9  MCP61 PCI Express bridge
03ea  MCP61 Memory Controller
03eb  MCP61 SMBus
03ec  MCP61 IDE
03ee  MCP61 Ethernet
03ef  MCP61 Ethernet
03f0  MCP61 High Definition Audio
03f1  MCP61 USB 1.1 Controller
03f2  MCP61 USB 2.0 Controller
03f3  MCP61 PCI bridge
03f4  MCP61 SMU
03f5  MCP61 Memory Controller
03f6  MCP61 SATA Controller
03f7  MCP61 SATA Controller
0400  G84 [GeForce 8600 GTS]
0401  G84 [GeForce 8600 GT]
0402  G84 [GeForce 8600 GT]
0403  G84 [GeForce 8600 GS]
0404  G84 [GeForce 8400 GS]
0405  G84M [GeForce 9500M GS]
0406  G84 [GeForce 8300 GS]
0407  G84M [GeForce 8600M GT]
0408  G84M [GeForce 9650M GS]
0409  G84M [GeForce 8700M GT]
040a  G84GL [Quadro FX 370]
040b  G84GLM [Quadro NVS 320M]
040c  G84GLM [Quadro FX 570M]
040d  G84GLM [Quadro FX 1600M]
040e  G84GL [Quadro FX 570]
040f  G84GL [Quadro FX 1700]
0410  G92 [GeForce GT 330]
0414  G92 [GeForce 9800 GT]
0418  G92 [GeForce GT 330 OEM]
0420  G86 [GeForce 8400 SE]
0421  G86 [GeForce 8500 GT]
0422  G86 [GeForce 8400 GS]
0423  G86 [GeForce 8300 GS]
0424  G86 [GeForce 8400 GS]
0425  G86M [GeForce 8600M GS]
0426  G86M [GeForce 8400M GT]
0427  G86M [GeForce 8400M GS]
0428  G86M [GeForce 8400M G]
0429  G86M [Quadro NVS 140M]
042a  G86M [Quadro NVS 130M]
042b  G86M [Quadro NVS 135M]
042c  G86 [GeForce 9400 GT]
042d  G86GLM [Quadro FX 360M]
042e  G86M [GeForce 9300M G]
042f  G86 [Quadro NVS 290]
0440  MCP65 LPC Bridge
0441  MCP65 LPC Bridge
0442  MCP65 LPC Bridge
0443  MCP65 LPC Bridge
0444  MCP65 Memory Controller
0445  MCP65 Memory Controller
0446  MCP65 SMBus
0447  MCP65 SMU
0448  MCP65 IDE
0449  MCP65 PCI bridge
044a  MCP65 High Definition Audio
044b  MCP65 High Definition Audio
044c  MCP65 AHCI Controller
044d  MCP65 AHCI Controller
044e  MCP65 AHCI Controller
044f  MCP65 AHCI Controller
0450  MCP65 Ethernet
0451  MCP65 Ethernet
0452  MCP65 Ethernet
0453  MCP65 Ethernet
0454  MCP65 USB 1.1 OHCI Controller
0455  MCP65 USB 2.0 EHCI Controller
0456  MCP65 USB Controller
0457  MCP65 USB Controller
0458  MCP65 PCI Express bridge
0459  MCP65 PCI Express bridge
045a  MCP65 PCI Express bridge
045b  MCP65 PCI Express bridge
045c  MCP65 SATA Controller
045d  MCP65 SATA Controller
045e  MCP65 SATA Controller
045f  MCP65 SATA Controller
0531  C67 [GeForce 7150M / nForce 630M]
0533  C67 [GeForce 7000M / nForce 610M]
053a  C68 [GeForce 7050 PV / nForce 630a]
053b  C68 [GeForce 7050 PV / nForce 630a]
053e  C68 [GeForce 7025 / nForce 630a]
0541  MCP67 Memory Controller
0542  MCP67 SMBus
0543  MCP67 Co-processor
0547  MCP67 Memory Controller
0548  MCP67 ISA Bridge
054c  MCP67 Ethernet
054d  MCP67 Ethernet
054e  MCP67 Ethernet
054f  MCP67 Ethernet
0550  MCP67 AHCI Controller
0554  MCP67 AHCI Controller
0555  MCP67 SATA Controller
055c  MCP67 High Definition Audio
055d  MCP67 High Definition Audio
055e  MCP67 OHCI USB 1.1 Controller
055f  MCP67 EHCI USB 2.0 Controller
0560  MCP67 IDE Controller
0561  MCP67 PCI Bridge
0562  MCP67 PCI Express Bridge
0563  MCP67 PCI Express Bridge
0568  MCP78S [GeForce 8200] Memory Controller
0569  MCP78S [GeForce 8200] PCI Express Bridge
056a  MCP73 [nForce 630i] USB 2.0 Controller (EHCI)
056c  MCP73 IDE Controller
056d  MCP73 PCI Express bridge
056e  MCP73 PCI Express bridge
056f  MCP73 PCI Express bridge
05b1  NF200 PCIe 2.0 switch
05b8  NF200 PCIe 2.0 switch for GTX 295
05be  NF200 PCIe 2.0 switch for Quadro Plex S4 / Tesla S870 / Tesla S1070 / Tesla S2050
05e0  GT200b [GeForce GTX 295]
05e1  GT200 [GeForce GTX 280]
05e2  GT200 [GeForce GTX 260]
05e3  GT200b [GeForce GTX 285]
05e6  GT200b [GeForce GTX 275]
05e7  GT200GL [Tesla C1060 / M1060]
05ea  GT200 [GeForce GTX 260]
05eb  GT200 [GeForce GTX 295]
05ed  GT200GL [Quadro Plex 2200 D2]
05f1  GT200 [GeForce GTX 280]
05f2  GT200 [GeForce GTX 260]
05f8  GT200GL [Quadro Plex 2200 S4]
05f9  GT200GL [Quadro CX]
05fd  GT200GL [Quadro FX 5800]
05fe  GT200GL [Quadro FX 4800]
05ff  GT200GL [Quadro FX 3800]
0600  G92 [GeForce 8800 GTS 512]
0601  G92 [GeForce 9800 GT]
0602  G92 [GeForce 8800 GT]
0603  G92 [GeForce GT 230 OEM]
0604  G92 [GeForce 9800 GX2]
0605  G92 [GeForce 9800 GT]
0606  G92 [GeForce 8800 GS]
0607  G92 [GeForce GTS 240]
0608  G92M [GeForce 9800M GTX]
0609  G92M [GeForce 8800M GTS]
060a  G92M [GeForce GTX 280M]
060b  G92M [GeForce 9800M GT]
060c  G92M [GeForce 8800M GTX]
060d  G92 [GeForce 8800 GS]
060f  G92M [GeForce GTX 285M]
0610  G92 [GeForce 9600 GSO]
0611  G92 [GeForce 8800 GT]
0612  G92 [GeForce 9800 GTX / 9800 GTX+]
0613  G92 [GeForce 9800 GTX+]
0614  G92 [GeForce 9800 GT]
0615  G92 [GeForce GTS 250]
0617  G92M [GeForce 9800M GTX]
0618  G92M [GeForce GTX 260M]
0619  G92GL [Quadro FX 4700 X2]
061a  G92GL [Quadro FX 3700]
061b  G92GL [Quadro VX 200]
061c  G92GLM [Quadro FX 3600M]
061d  G92GLM [Quadro FX 2800M]
061e  G92GLM [Quadro FX 3700M]
061f  G92GLM [Quadro FX 3800M]
0620  G94 [GeForce 9800 GT]
0621  G94 [GeForce GT 230]
0622  G94 [GeForce 9600 GT]
0623  G94 [GeForce 9600 GS]
0624  G94 [GeForce 9600 GT Green Edition]
0625  G94 [GeForce 9600 GSO 512]
0626  G94 [GeForce GT 130]
0627  G94 [GeForce GT 140]
0628  G94M [GeForce 9800M GTS]
062a  G94M [GeForce 9700M GTS]
062b  G94M [GeForce 9800M GS]
062c  G94M [GeForce 9800M GTS]
062d  G94 [GeForce 9600 GT]
062e  G94 [GeForce 9600 GT]
062f  G94 [GeForce 9800 S]
0630  G94 [GeForce 9600 GT]
0631  G94M [GeForce GTS 160M]
0632  G94M [GeForce GTS 150M]
0633  G94 [GeForce GT 220]
0635  G94 [GeForce 9600 GSO]
0637  G94 [GeForce 9600 GT]
0638  G94GL [Quadro FX 1800]
063a  G94GLM [Quadro FX 2700M]
063f  G94 [GeForce 9600 GE]
0640  G96C [GeForce 9500 GT]
0641  G96C [GeForce 9400 GT]
0642  G96 [D9M-10]
0643  G96 [GeForce 9500 GT]
0644  G96 [GeForce 9500 GS]
0645  G96C [GeForce 9500 GS]
0646  G96C [GeForce GT 120]
0647  G96CM [GeForce 9600M GT]
0648  G96CM [GeForce 9600M GS]
0649  G96CM [GeForce 9600M GT]
064a  G96M [GeForce 9700M GT]
064b  G96M [GeForce 9500M G]
064c  G96CM [GeForce 9650M GT]
064e  G96C [GeForce 9600 GSO / 9800 GT]
0651  G96CM [GeForce G 110M]
0652  G96CM [GeForce GT 130M]
0653  G96CM [GeForce GT 120M]
0654  G96CM [GeForce GT 220M]
0655  G96 [GeForce GT 120 Mac Edition]
0656  G96 [GeForce GT 120 Mac Edition]
0658  G96GL [Quadro FX 380]
0659  G96CGL [Quadro FX 580]
065a  G96GLM [Quadro FX 1700M]
065b  G96C [GeForce 9400 GT]
065c  G96GLM [Quadro FX 770M]
065d  G96 [GeForce 9500 GA / 9600 GT / GTS 250]
065f  G96C [GeForce G210]
06c0  GF100 [GeForce GTX 480]
06c4  GF100 [GeForce GTX 465]
06ca  GF100M [GeForce GTX 480M]
06cb  GF100 [GeForce GTX 480]
06cd  GF100 [GeForce GTX 470]
06d0  GF100GL
06d1  GF100GL [Tesla C2050 / C2070]
06d2  GF100GL [Tesla M2070]
06d8  GF100GL [Quadro 6000]
06d9  GF100GL [Quadro 5000]
06da  GF100GLM [Quadro 5000M]
06dc  GF100GL [Quadro 6000]
06dd  GF100GL [Quadro 4000]
06de  GF100GL [Tesla T20 Processor]
06df  GF100GL [Tesla M2070-Q]
06e0  G98 [GeForce 9300 GE]
06e1  G98 [GeForce 9300 GS]
06e2  G98 [GeForce 8400]
06e3  G98 [GeForce 8300 GS]
06e4  G98 [GeForce 8400 GS Rev. 2]
06e5  G98M [GeForce 9300M GS]
06e6  G98 [GeForce G 100]
06e7  G98 [GeForce 9300 SE]
06e8  G98M [GeForce 9200M GS]
06e9  G98M [GeForce 9300M GS]
06ea  G98M [Quadro NVS 150M]
06eb  G98M [Quadro NVS 160M]
06ec  G98M [GeForce G 105M]
06ed  G98 [GeForce 9600 GT / 9800 GT]
06ee  G98 [GeForce 9600 GT / 9800 GT / GT 240]
06ef  G98M [GeForce G 103M]
06f1  G98M [GeForce G 105M]
06f8  G98 [Quadro NVS 420]
06f9  G98GL [Quadro FX 370 LP]
06fa  G98 [Quadro NVS 450]
06fb  G98GLM [Quadro FX 370M]
06fd  G98 [Quadro NVS 295]
06ff  G98 [HICx16 + Graphics]
0751  MCP78S [GeForce 8200] Memory Controller
0752  MCP78S [GeForce 8200] SMBus
0753  MCP78S [GeForce 8200] Co-Processor
0754  MCP78S [GeForce 8200] Memory Controller
0759  MCP78S [GeForce 8200] IDE
075a  MCP78S [GeForce 8200] PCI Bridge
075b  MCP78S [GeForce 8200] PCI Express Bridge
075c  MCP78S [GeForce 8200] LPC Bridge
075d  MCP78S [GeForce 8200] LPC Bridge
0760  MCP77 Ethernet
0761  MCP77 Ethernet
0762  MCP77 Ethernet
0763  MCP77 Ethernet
0774  MCP72XE/MCP72P/MCP78U/MCP78S High Definition Audio
0778  MCP78S [GeForce 8200] PCI Express Bridge
077a  MCP78S [GeForce 8200] PCI Bridge
077b  MCP78S [GeForce 8200] OHCI USB 1.1 Controller
077c  MCP78S [GeForce 8200] EHCI USB 2.0 Controller
077d  MCP78S [GeForce 8200] OHCI USB 1.1 Controller
077e  MCP78S [GeForce 8200] EHCI USB 2.0 Controller
